"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-05-20","94.9","-3.0387","6.0036","Dee Gordon",543829,455119,"field_out","hit_into_play",,,,,8,"Dee Gordon grounds out softly, third baseman Asdrubal Cabrera to first baseman Ronald Guzman.  ","R","L","R","TEX","SEA","X",5,"ground_ball",0,0,2019,"-0.8552","0.9893","-0.1097","1.7521","null","null","null",0,9,"Top","113.85","181.52",,,643396,,"190521_025327","9.5966","-137.7570","-7.6656","-13.0683","30.5549","-18.0253","3.2483","1.5130","null","82.9","-21","95.0210","2370","6.4910",566786,455119,643396,608597,596059,452678,542454,425783,608336,608577,"54.0090","0.066","0.060","0.00",1,0,0,2,76,"1","4-Seam Fastball",10,6,6,10,6,10,6,10,"Standard","Standard"
"FF","2019-05-20","95.4","-1.7011","5.3133","Dee Gordon",543829,571946,"strikeout","foul_tip",,,,,5,"Dee Gordon strikes out on a foul tip.  ","R","L","R","TEX","SEA","S",2,"null",0,2,2019,"-0.7565","1.4533","-0.2150","2.0619","null","null","null",2,7,"Top","null","null",,,643396,,"190521_020657","5.6588","-138.6921","-6.1994","-11.1624","33.5293","-12.0770","3.1665","1.5130","null","null","null","95.5780","2406","6.6270",566786,571946,643396,608597,596059,452678,542454,425783,608336,608577,"53.8722","null","null","0.00",1,0,0,"null",57,"3","4-Seam Fastball",7,2,2,7,2,7,2,7,"Standard","Standard"
"CH","2019-05-20","85.9","1.2298","5.7479","Dee Gordon",543829,501985,"field_out","hit_into_play",,,,,6,"Dee Gordon flies out to center fielder Joey Gallo.  ","R","L","L","TEX","SEA","X",8,"fly_ball",2,2,2019,"-0.5884","0.1429","0.8142","2.4070","null","null","null",2,5,"Top","141.39","81.70",,,643396,,"190521_013024","0.1553","-124.8891","-1.8762","-5.9436","26.0494","-30.6280","3.3135","1.6300","282","78.3","33","84.1120","2777","5.2440",566786,501985,643396,608597,596059,452678,542454,425783,608336,608577,"55.2555","0.076","0.087","0.00",1,0,0,3,41,"6","Changeup",7,0,0,7,0,7,0,7,"Standard","Standard"
"SL","2019-05-20","87.6","1.1964","5.8935","Dee Gordon",543829,501985,"single","hit_into_play_no_out",,,,,7,"Dee Gordon singles on a fly ball to left fielder Shin-Soo Choo.   Mallex Smith to 2nd.  ","R","L","L","TEX","SEA","X",7,"fly_ball",0,2,2019,"-0.3436","0.6358","-0.3179","1.7281","null","null",605480,1,3,"Top","99.92","114.29",,,643396,,"190521_005104","-2.9185","-127.3337","-5.1138","-3.0478","24.9536","-24.7289","3.3652","1.5130","204","67.5","44","86.1640","2867","5.3270",566786,501985,643396,608597,596059,452678,542454,425783,608336,608577,"55.1723","0.297","0.302","0.90",1,1,0,3,22,"3","Slider",5,0,0,5,0,5,0,5,"Strategic","Standard"
"KC","2019-05-20","82.6","0.8426","6.0717","Dee Gordon",543829,501985,"field_out","hit_into_play",,,,,5,"Dee Gordon grounds out softly to first baseman Ronald Guzman.  ","R","L","L","TEX","SEA","X",3,"ground_ball",1,2,2019,"-0.7829","-0.8970","-0.0185","2.2958","null","null","null",0,1,"Top","151.41","164.56",,,643396,,"190521_001051","-0.4867","-120.0507","-0.3530","-7.1427","25.1993","-40.6946","3.3063","1.5130","3","74.9","-40","80.7090","2620","5.2540",566786,501985,643396,608597,596059,452678,542454,425783,608336,608577,"55.2460","0.045","0.035","0.00",1,0,0,2,1,"5","Knuckle Curve",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2019-05-19","88.6","-0.8626","5.8608","Dee Gordon",543829,543507,"field_out","hit_into_play",,,,,4,"Dee Gordon grounds out, second baseman Luis Arraez to first baseman C.  J. Cron.  ","R","L","R","SEA","MIN","X",4,"ground_ball",3,2,2019,"-1.1174","1.0171","-0.4882","2.6921","null","null","null",1,7,"Bot","140.19","150.17",,,553902,,"190519_222712","3.3120","-129.0881","-3.9429","-13.3854","23.8069","-19.9913","3.2701","1.5556","23","89.7","-5","89.8770","2174","6.7510",566395,543507,553902,543068,650333,593934,593871,592696,621439,501303,"53.7486","0.260","0.244","0.00",1,0,0,2,58,"6","Changeup",4,3,4,3,3,4,4,3,"Standard","Strategic"
"SL","2019-05-19","83.4","-2.2348","6.3746","Dee Gordon",543829,502043,"field_out","hit_into_play",,,,,6,"Dee Gordon lines out to right fielder Ehire Adrianza.  ","R","L","R","SEA","MIN","X",9,"line_drive",1,1,2019,"0.3305","-0.0301","0.5007","2.4218","null",641487,"null",1,5,"Bot","178.92","92.33",,,553902,,"190519_215031","5.6511","-121.4506","-2.6571","2.2883","21.5944","-32.1959","3.2646","1.5331","282","95.3","20","83.8760","null","6.3560",566395,502043,553902,543068,650333,593934,593871,592696,621439,501303,"54.1439","0.258","0.296","0.00",1,0,0,4,42,"3","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"CH","2019-05-19","85.9","-2.3102","6.3037","Dee Gordon",543829,502043,"field_out","hit_into_play",,,,,2,"Dee Gordon grounds out to first baseman C.  J. Cron.  ","R","L","R","SEA","MIN","X",3,"ground_ball",0,0,2019,"-1.1196","0.3309","0.1882","2.8056","null","null","null",1,3,"Bot","149.82","172.48",,,553902,,"190519_210016","8.3445","-125.1325","-2.8457","-13.5829","21.5261","-28.2508","3.2610","1.5741","4","78.5","-36","87.5770","1759","6.9600",566395,502043,553902,543068,650333,593934,593871,592696,621439,501303,"53.5400","0.066","0.060","0.00",1,0,0,2,22,"1","Changeup",0,0,0,0,0,0,0,0,"Strategic","Standard"
"FF","2019-05-19","93.8","-1.9431","6.6048","Dee Gordon",543829,502043,"field_out","hit_into_play",,,,,6,"Dee Gordon grounds out, second baseman Luis Arraez to first baseman C.  J. Cron.  ","R","L","R","SEA","MIN","X",4,"ground_ball",1,2,2019,"-0.6281","1.2956","0.3483","2.1769","null","null","null",0,1,"Bot","143.23","154.23",,,553902,,"190519_202221","7.3223","-136.2775","-8.6121","-9.3923","28.1390","-14.3389","3.3000","1.5400","6","91.3","-20","94.1150","2263","6.4260",566395,502043,553902,543068,650333,593934,593871,592696,621439,501303,"54.0737","0.132","0.122","0.00",1,0,0,2,4,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-05-18","95.5","-0.4725","5.8863","Dee Gordon",543829,542866,"strikeout","swinging_strike",,,,,14,"Dee Gordon strikes out swinging.  ","R","L","R","SEA","MIN","S",2,"null",3,2,2019,"0.1619","1.4277","1.2453","1.8166","null","null",605480,1,9,"Bot","null","null",,,488771,,"190519_055820","4.1612","-138.9130","-8.3479","1.2684","28.0953","-12.0681","3.3900","1.5800","null","null","null","95.9400","2208","6.3470",566394,542866,488771,503556,650333,593934,501303,592696,621439,596146,"54.1524","null","null","0.00",1,0,0,"null",90,"6","4-Seam Fastball",4,18,4,18,18,4,4,18,"Standard","Standard"
