events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate,hit
field_out,hit_into_play,444489,R,20.0,87.9,183.38,101.79,592169.0,R,FF,94.1,2050.0,False
field_out,hit_into_play,606115,R,69.0,80.0,172.0,171.22,592169.0,R,SI,94.6,2006.0,False
field_out,hit_into_play,542583,R,26.0,90.1,191.22,80.52,592169.0,R,FF,92.7,2278.0,False
field_out,hit_into_play,623912,R,2.0,106.5,112.64,143.36,541650.0,R,FF,71.7,1779.0,False
field_out,hit_into_play,445988,R,66.0,84.5,162.91,153.66,541650.0,R,FF,74.1,1791.0,False
field_out,hit_into_play,605119,R,69.0,80.0,171.39,168.8,541650.0,R,FF,71.4,1721.0,False
single,hit_into_play_no_out,460075,R,9.0,99.5,106.5,77.16,656257.0,R,FF,97.0,2384.0,True
single,hit_into_play_no_out,456715,R,7.0,106.3,79.68,89.11,656257.0,R,FF,97.0,2474.0,True
field_out,hit_into_play,444489,R,40.0,53.3,149.89,142.36,656257.0,R,FF,96.6,2354.0,False
field_out,hit_into_play,643265,R,9.0,89.3,135.72,140.59,606930.0,R,SL,93.0,2395.0,False
double,hit_into_play_score,621573,R,23.0,99.5,167.47,49.84,606930.0,R,FC,91.1,2602.0,True
field_out,hit_into_play,594011,L,-33.0,71.6,153.22,167.59,606930.0,R,FC,87.8,2437.0,False
field_out,hit_into_play,500743,R,17.0,92.2,177.81,90.45,606930.0,R,FF,93.3,2418.0,False
single,hit_into_play_no_out,595751,R,-18.0,102.4,78.72,94.91,606930.0,R,FC,86.2,2226.0,True
field_out,hit_into_play,606115,R,-19.0,81.9,122.33,178.49,606424.0,L,CH,87.3,2359.0,False
double,hit_into_play_no_out,543768,L,26.0,93.8,199.0,66.93,606424.0,L,SL,82.6,2443.0,True
field_out,hit_into_play,595375,L,1.0,102.5,128.39,140.94,606930.0,R,FF,93.3,2378.0,False
field_out,hit_into_play,623912,R,-20.0,93.4,102.35,165.77,606930.0,R,FC,90.1,2328.0,False
field_out,hit_into_play,516770,R,-7.0,91.9,105.98,163.35,606930.0,R,FF,94.6,2522.0,False
field_out,hit_into_play,460075,R,69.0,80.0,160.49,179.7,641154.0,R,FF,94.4,2127.0,False
single,hit_into_play_no_out,592885,L,32.0,69.5,90.98,108.29,641154.0,R,FF,93.7,2040.0,True
field_out,hit_into_play,456715,R,16.0,61.1,150.35,165.81,641154.0,R,CH,85.4,1996.0,False
field_out,hit_into_play,605119,R,-21.0,82.9,125.97,179.7,592222.0,L,SI,86.2,2030.0,False
single,hit_into_play_no_out,621573,R,8.0,105.7,123.46,73.84,592222.0,L,SI,85.3,2075.0,True
field_out,hit_into_play,500743,R,54.0,73.1,106.63,121.53,592222.0,L,CH,71.6,2261.0,False
field_out,hit_into_play,606115,R,15.0,104.8,69.52,73.25,641154.0,R,CH,83.9,2107.0,False
field_out,hit_into_play,543768,L,2.0,101.5,110.83,143.36,641154.0,R,FF,92.7,2044.0,False
single,hit_into_play_score,595375,L,19.0,66.5,138.05,128.9,669203.0,R,SL,87.1,2900.0,True
field_out,hit_into_play_score,623912,R,1.0,98.0,113.85,147.6,669203.0,R,FF,94.1,2556.0,False
double,hit_into_play_score,516770,R,4.0,88.0,39.96,113.69,669203.0,R,SL,87.3,2733.0,True
