events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,543829.0,L,-21.0,82.9,113.85,181.52,455119.0,R,FF,94.9,2370.0
strikeout,foul_tip,543829.0,L,,,,,571946.0,R,FF,95.4,2406.0
field_out,hit_into_play,543829.0,L,33.0,78.3,141.39,81.7,501985.0,L,CH,85.9,2777.0
single,hit_into_play_no_out,543829.0,L,44.0,67.5,99.92,114.29,501985.0,L,SL,87.6,2867.0
field_out,hit_into_play,543829.0,L,-40.0,74.9,151.41,164.56,501985.0,L,KC,82.6,2620.0
field_out,hit_into_play,543829.0,L,-5.0,89.7,140.19,150.17,543507.0,R,CH,88.6,2174.0
field_out,hit_into_play,543829.0,L,20.0,95.3,178.92,92.33,502043.0,R,SL,83.4,
field_out,hit_into_play,543829.0,L,-36.0,78.5,149.82,172.48,502043.0,R,CH,85.9,1759.0
field_out,hit_into_play,543829.0,L,-20.0,91.3,143.23,154.23,502043.0,R,FF,93.8,2263.0
strikeout,swinging_strike,543829.0,L,,,,,542866.0,R,FF,95.5,2208.0
field_out,hit_into_play,543829.0,L,-21.0,82.9,129.54,187.18,608648.0,R,KC,80.3,2573.0
field_out,hit_into_play,543829.0,L,49.0,63.0,91.52,147.13,621244.0,R,CH,82.5,1628.0
field_out,hit_into_play,543829.0,L,28.0,77.3,63.48,110.81,621244.0,R,FF,93.6,2268.0
strikeout,swinging_strike,543829.0,L,,,,,621244.0,R,FT,93.3,2205.0
grounded_into_double_play,hit_into_play,543829.0,L,-20.0,98.8,141.71,152.71,527048.0,L,FF,94.7,2110.0
single,hit_into_play_no_out,543829.0,L,18.0,92.0,95.34,85.63,527048.0,L,FF,93.9,2204.0
single,hit_into_play_no_out,543829.0,L,18.0,95.0,145.99,73.98,527048.0,L,CU,77.8,2541.0
field_out,hit_into_play,543829.0,L,-2.0,89.5,104.19,153.72,527048.0,L,FF,93.8,1984.0
field_out,hit_into_play,543829.0,L,5.0,102.5,114.33,149.67,608648.0,R,FF,95.5,2225.0
field_out,hit_into_play,543829.0,L,6.0,77.8,157.93,156.26,501381.0,R,FF,91.9,1922.0
field_out,hit_into_play,543829.0,L,50.0,86.2,43.49,119.7,501381.0,R,CH,87.3,1687.0
field_out,hit_into_play,543829.0,L,44.0,81.5,141.3,88.03,501381.0,R,CH,86.2,1763.0
hit_by_pitch,hit_by_pitch,543829.0,L,,,,,457918.0,L,FF,90.0,2257.0
walk,ball,543829.0,L,,,,,457918.0,L,FF,91.3,2304.0
strikeout,called_strike,543829.0,L,,,,,545332.0,R,FF,93.3,2187.0
field_out,hit_into_play,543829.0,L,24.0,86.2,145.96,61.57,570666.0,R,SL,84.7,2547.0
single,hit_into_play_score,543829.0,L,4.0,96.6,131.5,119.89,642528.0,R,CU,82.1,2785.0
field_out,hit_into_play,543829.0,L,86.0,74.5,139.28,228.42,642528.0,R,CU,83.5,2595.0
single,hit_into_play_no_out,543829.0,L,-9.0,89.9,135.21,109.55,642528.0,R,FF,97.4,2440.0
single,hit_into_play_no_out,543829.0,L,-24.0,81.9,179.41,107.01,642840.0,R,FF,96.4,2594.0
field_out,hit_into_play,543829.0,L,-8.0,85.8,108.29,156.28,592454.0,R,FF,97.8,2221.0
field_out,hit_into_play,543829.0,L,17.0,94.7,59.53,104.6,547888.0,R,CU,78.2,2433.0
single,hit_into_play_no_out,543829.0,L,11.0,97.5,102.6,83.91,547888.0,R,FF,91.2,2119.0
strikeout,swinging_strike,543829.0,L,,,,,547888.0,R,SL,83.6,2440.0
strikeout,swinging_strike_blocked,543829.0,L,,,,,570666.0,R,SL,84.2,2534.0
single,hit_into_play_no_out,543829.0,L,20.0,64.1,149.82,129.86,656547.0,R,CH,84.6,1845.0
home_run,hit_into_play_score,543829.0,L,28.0,94.7,192.95,63.35,282332.0,L,SL,79.5,2238.0
single,hit_into_play_no_out,543829.0,L,11.0,97.1,124.67,91.84,282332.0,L,FC,86.6,2326.0
field_out,hit_into_play,543829.0,L,-21.0,82.9,144.36,183.72,519166.0,R,FF,95.9,2378.0
force_out,hit_into_play,543829.0,L,-30.0,85.1,144.36,155.78,519096.0,R,CH,82.5,1316.0
field_out,hit_into_play,543829.0,L,-21.0,82.9,131.99,192.64,621397.0,L,FF,87.3,2225.0
field_out,hit_into_play,543829.0,L,-18.0,74.1,143.34,156.28,457754.0,R,FF,93.3,2332.0
field_out,hit_into_play,543829.0,L,50.0,56.1,116.03,136.86,594736.0,R,CH,85.6,2260.0
field_out,hit_into_play,543829.0,L,8.0,98.8,158.63,167.38,471911.0,R,FT,91.9,2294.0
field_out,hit_into_play,543829.0,L,25.0,91.3,208.65,88.77,471911.0,R,CU,79.5,2784.0
force_out,hit_into_play,543829.0,L,-3.0,77.9,114.9,158.32,471911.0,R,FT,93.4,2398.0
strikeout,swinging_strike,543829.0,L,,,,,471911.0,R,FF,94.6,2531.0
