events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
strikeout,swinging_strike,429665.0,R,,,,,501789.0,R,FC,91.3,2576.0
strikeout,swinging_strike,429665.0,R,,,,,657624.0,R,FF,97.7,2268.0
field_out,hit_into_play,429665.0,R,-10.0,102.6,102.17,165.38,489119.0,L,FF,91.1,2201.0
walk,ball,429665.0,R,,,,,489119.0,L,FC,88.8,2262.0
field_out,hit_into_play,429665.0,R,6.0,107.1,102.17,162.85,519151.0,R,FF,95.7,2658.0
field_out,hit_into_play,429665.0,R,3.0,74.9,118.9,152.2,664285.0,L,FF,94.1,2189.0
field_out,hit_into_play,429665.0,R,-21.0,81.7,97.6,165.89,664285.0,L,CU,79.6,2921.0
home_run,hit_into_play_score,429665.0,R,30.0,105.6,106.32,27.83,656686.0,R,CU,82.4,2606.0
field_out,hit_into_play,429665.0,R,47.0,95.0,170.83,87.11,656686.0,R,FF,96.3,2392.0
field_out,hit_into_play,429665.0,R,83.0,80.3,127.0,201.0,660761.0,L,CH,81.6,1575.0
single,hit_into_play_no_out,429665.0,R,3.0,94.8,63.64,110.63,660761.0,L,FF,91.4,2265.0
field_out,hit_into_play,429665.0,R,69.0,80.0,157.42,189.72,660761.0,L,FF,91.0,2246.0
field_out,hit_into_play,429665.0,R,69.0,80.0,156.41,199.85,621142.0,R,FF,98.1,2243.0
home_run,hit_into_play_score,429665.0,R,29.0,108.5,137.15,23.43,571760.0,L,CU,80.0,2530.0
home_run,hit_into_play_score,429665.0,R,37.0,107.9,15.49,69.09,571760.0,L,CH,83.4,2027.0
field_out,hit_into_play,429665.0,R,69.0,80.0,81.89,138.01,571760.0,L,SI,91.8,2622.0
strikeout,swinging_strike,429665.0,R,,,,,657228.0,R,FF,94.5,2244.0
strikeout,swinging_strike,429665.0,R,,,,,570240.0,R,SL,81.4,2277.0
strikeout,foul_tip,429665.0,R,,,,,570240.0,R,FT,93.8,2060.0
grounded_into_double_play,hit_into_play,429665.0,R,-2.0,104.5,98.11,168.93,472610.0,R,FF,96.9,2093.0
walk,ball,429665.0,R,,,,,518875.0,R,FF,93.2,2413.0
field_out,hit_into_play,429665.0,R,37.0,99.6,65.89,59.81,592767.0,L,FF,91.8,2078.0
single,hit_into_play_no_out,429665.0,R,12.0,99.0,99.8,145.85,592767.0,L,CU,76.4,1834.0
strikeout,swinging_strike,429665.0,R,,,,,592767.0,L,FF,91.7,2109.0
single,hit_into_play_no_out,429665.0,R,-23.0,88.9,99.63,169.44,600917.0,R,SL,83.1,2555.0
field_out,hit_into_play,429665.0,R,39.0,83.5,209.64,122.29,571946.0,R,FF,94.6,2258.0
field_out,hit_into_play,429665.0,R,52.0,108.2,43.87,109.11,605488.0,L,SI,92.6,2092.0
strikeout,swinging_strike_blocked,429665.0,R,,,,,592716.0,R,SL,84.2,2628.0
field_out,hit_into_play,429665.0,R,34.0,96.4,77.96,53.3,592716.0,R,SL,83.0,2507.0
single,hit_into_play_no_out,429665.0,R,13.0,107.3,126.72,68.87,445926.0,R,FC,87.9,2309.0
field_out,hit_into_play,429665.0,R,73.0,72.8,78.81,193.38,433589.0,R,CU,75.2,2044.0
field_out,hit_into_play,429665.0,R,-5.0,103.8,106.06,155.83,474463.0,L,SI,90.2,1668.0
grounded_into_double_play,hit_into_play,429665.0,R,-3.0,98.8,150.28,168.54,474463.0,L,SI,93.0,1922.0
walk,ball,429665.0,R,,,,,474463.0,L,SL,82.4,2419.0
strikeout,swinging_strike,429665.0,R,,,,,642152.0,R,CU,81.4,2606.0
field_out,hit_into_play,429665.0,R,69.0,80.0,101.74,131.86,571666.0,R,FT,90.6,2306.0
field_out,hit_into_play,429665.0,R,18.0,103.9,123.5,48.72,571666.0,R,SL,84.9,2501.0
