last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2019,306,223,.272,.251,.021,.433,.398,.035,.345,.326,.019
Betts, Mookie,605141,2019,301,210,.267,.267,.000,.450,.485,-.035,.359,.375,-.016
Merrifield, Whit,593160,2019,291,216,.294,.286,.008,.480,.439,.041,.350,.335,.015
Santana, Domingo,570267,2019,289,176,.273,.281,-.008,.485,.536,-.051,.354,.376,-.022
Bregman, Alex,608324,2019,288,203,.272,.283,-.011,.545,.477,.068,.396,.385,.011
Freeman, Freddie,518692,2019,287,202,.312,.313,-.001,.592,.623,-.031,.420,.432,-.012
Acuna Jr., Ronald,660670,2019,287,183,.279,.293,-.014,.482,.559,-.077,.364,.396,-.032
Chapman, Matt,656305,2019,285,198,.260,.262,-.002,.516,.505,.011,.366,.367,-.001
Story, Trevor,596115,2019,285,180,.289,.265,.024,.543,.461,.082,.383,.344,.039
Albies, Ozzie,645277,2019,285,213,.266,.286,-.020,.410,.448,-.038,.320,.344,-.024
Marte, Ketel,606466,2019,284,216,.268,.282,-.014,.513,.497,.016,.351,.352,-.001
Escobar, Eduardo,500871,2019,284,197,.289,.233,.056,.563,.425,.138,.383,.314,.069
Harper, Bryce,547180,2019,284,161,.251,.267,-.016,.469,.490,-.021,.351,.366,-.015
Haniger, Mitch,571745,2019,283,167,.220,.219,.001,.463,.433,.030,.333,.324,.009
Cain, Lorenzo,456715,2019,283,214,.254,.275,-.021,.371,.387,-.016,.301,.321,-.020
Hoskins, Rhys,656555,2019,281,164,.263,.234,.029,.504,.419,.085,.380,.348,.032
Bogaerts, Xander,593428,2019,281,193,.291,.274,.017,.516,.468,.048,.380,.363,.017
Mondesi, Adalberto,609275,2019,281,190,.273,.243,.030,.462,.398,.064,.324,.303,.021
Arenado, Nolan,571448,2019,281,227,.331,.286,.045,.598,.476,.122,.406,.347,.059
Eaton, Adam,594809,2019,279,198,.263,.263,.000,.387,.389,-.002,.325,.328,-.003
Encarnacion, Edwin,429665,2019,278,183,.245,.252,-.007,.532,.529,.003,.377,.385,-.008
Trout, Mike,545361,2019,277,162,.296,.322,-.026,.626,.664,-.038,.451,.479,-.028
Voit, Luke,572228,2019,277,165,.263,.253,.010,.500,.534,-.034,.378,.386,-.008
Abreu, Jose,547989,2019,275,188,.250,.264,-.014,.504,.540,-.036,.335,.367,-.032
Piscotty, Stephen,572039,2019,275,193,.258,.249,.009,.411,.430,-.019,.318,.324,-.006
Devers, Rafael,646240,2019,275,204,.301,.300,.001,.486,.504,-.018,.361,.371,-.010
Polanco, Jorge,593871,2019,275,208,.333,.302,.031,.569,.520,.049,.405,.377,.028
Villar, Jonathan,542340,2019,274,189,.253,.231,.022,.402,.343,.059,.311,.281,.030
Bryant, Kris,592178,2019,274,180,.273,.271,.002,.532,.507,.025,.390,.384,.006
Bell, Josh,605137,2019,273,188,.325,.304,.021,.667,.596,.071,.434,.403,.031
Benintendi, Andrew,643217,2019,273,173,.266,.248,.018,.416,.447,-.031,.338,.343,-.005
Goldschmidt, Paul,502671,2019,273,170,.272,.260,.012,.444,.477,-.033,.350,.357,-.007
Santana, Carlos,467793,2019,273,184,.285,.272,.013,.509,.483,.026,.387,.375,.012
Bellinger, Cody,641355,2019,272,192,.355,.378,-.023,.693,.710,-.017,.465,.487,-.022
Moncada, Yoan,660162,2019,271,174,.294,.292,.002,.508,.532,-.024,.366,.375,-.009
Ramirez, Jose,608070,2019,271,198,.203,.242,-.039,.301,.393,-.092,.267,.318,-.051
Baez, Javier,595879,2019,271,171,.299,.278,.021,.575,.536,.039,.383,.360,.023
Swanson, Dansby,621020,2019,271,197,.257,.282,-.025,.478,.516,-.038,.331,.361,-.030
DeJong, Paul,657557,2019,270,184,.270,.272,-.002,.481,.483,-.002,.366,.369,-.003
Brantley, Michael,488726,2019,270,223,.317,.288,.029,.512,.453,.059,.378,.347,.031
Machado, Manny,592518,2019,269,180,.242,.254,-.012,.403,.427,-.024,.317,.334,-.017
Rizzo, Anthony,519203,2019,269,188,.276,.310,-.034,.542,.557,-.015,.397,.418,-.021
Mancini, Trey,641820,2019,269,191,.299,.287,.012,.537,.517,.020,.376,.365,.011
Anderson, Brian,605119,2019,269,178,.241,.265,-.024,.380,.449,-.069,.309,.348,-.039
Hosmer, Eric,543333,2019,268,196,.281,.265,.016,.446,.417,.029,.333,.318,.015
Castro, Starlin,516770,2019,267,214,.233,.255,-.022,.313,.371,-.058,.253,.294,-.041
Soler, Jorge,624585,2019,266,168,.241,.243,-.002,.510,.507,.003,.339,.342,-.003
Grichuk, Randal,545341,2019,266,173,.224,.202,.022,.416,.371,.045,.301,.276,.025
Suarez, Eugenio,553993,2019,266,175,.265,.244,.021,.500,.441,.059,.355,.334,.021
Castellanos, Nicholas,592206,2019,265,183,.262,.259,.003,.443,.471,-.028,.323,.337,-.014
Gordon, Alex,460086,2019,265,191,.279,.256,.023,.489,.447,.042,.361,.348,.013
