events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,543829,L,12.0,64.1,156.16,166.63,547179,R,CH,88.0,2437.0
strikeout,swinging_strike,543829,L,,,,,545333,R,KC,81.4,2961.0
field_out,hit_into_play,543829,L,-43.0,63.4,143.35,179.81,545333,R,KC,80.6,2878.0
field_out,hit_into_play,543829,L,-46.0,69.2,135.12,188.7,545333,R,KC,80.0,2908.0
field_out,hit_into_play,543829,L,-16.0,92.8,110.83,170.51,543037,R,KC,84.0,2974.0
field_out,hit_into_play,543829,L,-31.0,87.1,122.01,160.35,543037,R,KC,83.7,2874.0
strikeout,swinging_strike_blocked,543829,L,,,,,543037,R,KC,84.8,3089.0
single,hit_into_play_no_out,543829,L,-26.0,66.8,104.23,165.94,657624,R,CH,88.9,1901.0
single,hit_into_play_no_out,543829,L,10.0,97.5,175.01,97.3,434378,R,FF,94.1,2507.0
triple,hit_into_play_score,543829,L,2.0,97.3,211.92,99.39,434378,R,FF,92.8,2434.0
field_out,hit_into_play,543829,L,-49.0,80.8,130.14,180.67,444468,R,FT,97.4,2082.0
strikeout,swinging_strike,543829,L,,,,,501925,R,SI,88.9,2033.0
field_out,hit_into_play,543829,L,49.0,90.6,150.11,87.03,664353,R,FF,90.0,2240.0
field_out,hit_into_play,543829,L,36.0,96.7,169.17,54.88,664353,R,FF,93.0,2283.0
single,hit_into_play_no_out,543829,L,2.0,94.7,86.45,125.3,605482,R,FF,92.9,2400.0
single,hit_into_play_no_out,543829,L,20.0,77.0,123.78,96.93,489119,L,FC,88.5,2267.0
single,hit_into_play_no_out,543829,L,5.0,90.0,86.91,116.42,445213,R,SI,94.5,2142.0
single,hit_into_play_no_out,543829,L,12.0,98.6,148.17,91.44,452657,L,SI,88.1,2165.0
strikeout,swinging_strike,543829,L,,,,,452657,L,SI,90.1,2229.0
field_out,hit_into_play,543829,L,1.0,96.0,149.59,154.27,452657,L,SI,89.0,2175.0
field_out,hit_into_play,543829,L,31.0,81.9,91.64,78.86,475479,R,FC,90.1,2511.0
double,hit_into_play_score,543829,L,20.0,89.9,154.45,67.11,543294,R,CH,76.8,2015.0
field_out,hit_into_play,543829,L,41.0,83.7,74.55,96.18,543294,R,FF,86.8,2056.0
double_play,hit_into_play,543829,L,8.0,97.6,157.18,169.48,605260,R,CU,81.9,3089.0
grounded_into_double_play,hit_into_play,543829,L,1.0,94.8,119.91,149.42,450172,R,SI,95.2,2467.0
single,hit_into_play_no_out,543829,L,7.0,75.5,148.98,149.42,664139,R,CH,84.5,2142.0
field_out,hit_into_play,543829,L,40.0,67.2,159.74,114.37,608652,R,SL,81.8,2374.0
single,hit_into_play_score,543829,L,18.0,88.8,124.12,90.48,656685,L,FT,92.4,2401.0
single,hit_into_play_no_out,543829,L,28.0,65.0,77.51,146.39,642546,R,FF,95.0,2142.0
field_out,hit_into_play,543829,L,14.0,95.7,103.79,81.23,642546,R,SI,99.0,2259.0
field_out,hit_into_play,543829,L,-35.0,82.4,110.83,171.83,656271,L,FF,92.4,2273.0
caught_stealing_2b,called_strike,543829,L,,,,,656271,L,CU,78.6,
single,hit_into_play_score,543829,L,-8.0,78.0,185.32,112.47,656271,L,CU,78.5,1096.0
field_out,hit_into_play,543829,L,-30.0,76.6,150.19,165.77,661403,R,FC,99.8,2474.0
field_out,hit_into_play,543829,L,-46.0,64.3,125.22,163.63,518875,R,SL,82.6,2622.0
field_out,hit_into_play,543829,L,6.0,93.4,98.71,166.98,663465,L,FC,86.9,2178.0
field_out,hit_into_play,543829,L,-2.0,64.6,113.61,151.1,663465,L,FC,87.5,2214.0
single,hit_into_play_no_out,543829,L,-17.0,90.3,179.87,108.23,600917,R,FT,96.5,2474.0
field_out,hit_into_play,543829,L,9.0,86.7,153.33,168.89,656685,L,FT,93.8,2271.0
field_out,hit_into_play,543829,L,19.0,34.6,127.84,180.68,458681,R,CU,83.1,2267.0
fielders_choice_out,hit_into_play_score,543829,L,-17.0,84.8,113.85,151.24,458681,R,CU,81.5,2336.0
field_out,hit_into_play,543829,L,-5.0,71.0,150.27,152.91,518715,R,CH,86.7,2367.0
force_out,hit_into_play,543829,L,-15.0,88.5,148.81,178.56,643338,R,FF,96.4,2416.0
field_out,hit_into_play,543829,L,18.0,93.1,63.45,105.21,572020,L,FF,94.0,2060.0
