events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,429665,R,51.0,92.3,164.79,96.55,641729,R,FF,97.1,2569.0
home_run,hit_into_play_score,429665,R,26.0,108.3,17.39,57.39,670167,R,FF,92.5,2221.0
field_out,hit_into_play,429665,R,10.0,88.9,101.4,147.52,641302,L,CU,82.3,
field_out,hit_into_play,429665,R,1.0,106.8,115.15,155.22,429719,R,FC,92.8,2121.0
strikeout,swinging_strike,429665,R,,,,,429719,R,SL,85.9,2068.0
field_out,hit_into_play,429665,R,39.0,74.8,168.14,107.21,642067,R,FF,92.2,2028.0
field_out,hit_into_play,429665,R,34.0,97.8,107.49,41.71,665001,R,SI,89.2,2312.0
field_out,hit_into_play,429665,R,69.0,80.0,174.84,174.06,593958,L,FC,89.1,2202.0
single,hit_into_play_no_out,429665,R,-12.0,105.9,94.07,150.19,593958,L,FT,95.1,2070.0
strikeout,called_strike,429665,R,,,,,593958,L,FT,95.4,2204.0
single,hit_into_play_score,429665,R,-23.0,81.8,83.4,142.06,519393,R,SL,85.3,2135.0
strikeout,swinging_strike,429665,R,,,,,595001,R,SL,85.5,2708.0
single,hit_into_play_no_out,429665,R,24.0,91.1,78.32,56.22,518489,R,FF,95.7,2318.0
field_out,hit_into_play,429665,R,2.0,100.8,100.16,171.52,519144,R,FT,90.3,2219.0
single,hit_into_play_no_out,429665,R,17.0,75.4,104.54,108.8,519144,R,SL,83.2,2492.0
double,hit_into_play_score,429665,R,22.0,100.1,101.75,32.11,642067,R,FF,91.8,2057.0
strikeout,foul_tip,429665,R,,,,,595001,R,FT,92.8,2307.0
field_out,hit_into_play,429665,R,85.0,62.3,128.92,228.84,665001,R,SI,90.2,2264.0
home_run,hit_into_play_score,429665,R,32.0,106.5,44.59,38.45,605155,R,CU,81.1,2473.0
field_out,hit_into_play,429665,R,36.0,104.7,94.02,42.59,664042,R,FF,95.1,2263.0
strikeout,called_strike,429665,R,,,,,596074,L,CH,82.7,2243.0
field_out,hit_into_play,429665,R,-21.0,82.9,145.37,182.7,543901,R,SI,89.9,2138.0
strikeout,swinging_strike,429665,R,,,,,519393,R,FF,92.8,2111.0
strikeout,called_strike,429665,R,,,,,468504,R,SL,82.1,2452.0
field_out,hit_into_play,429665,R,-14.0,56.5,122.74,200.17,664139,R,FF,94.9,1969.0
field_out,hit_into_play,429665,R,34.0,82.7,86.69,76.01,458681,R,FC,88.4,2527.0
field_out,hit_into_play,429665,R,55.0,98.2,158.05,95.11,458681,R,FF,95.4,2381.0
force_out,hit_into_play,429665,R,8.0,81.0,97.71,146.12,458681,R,FF,97.5,2551.0
home_run,hit_into_play_score,429665,R,35.0,104.4,29.55,65.88,606160,R,SL,85.8,
single,hit_into_play_no_out,429665,R,0.0,107.1,100.67,149.68,642558,R,SL,85.8,2019.0
field_out,hit_into_play,429665,R,-48.0,80.9,112.36,176.6,642558,R,SL,85.3,2193.0
field_out,hit_into_play,429665,R,41.0,76.3,183.47,100.41,450172,R,KC,81.9,2631.0
hit_by_pitch,hit_by_pitch,429665,R,,,,,595001,R,SL,87.1,2514.0
single,hit_into_play_score,429665,R,28.0,97.5,57.58,53.84,595001,R,CH,83.3,2117.0
single,hit_into_play_score,429665,R,12.0,106.0,90.42,142.75,605155,R,CU,80.4,2762.0
single,hit_into_play_no_out,429665,R,3.0,62.8,152.44,137.18,519242,L,SL,74.9,2276.0
strikeout,swinging_strike,429665,R,,,,,519242,L,FF,92.9,2318.0
field_out,hit_into_play,429665,R,-23.0,88.9,100.67,159.33,543135,R,FS,90.5,1770.0
strikeout,swinging_strike,429665,R,,,,,593958,L,CH,88.4,2102.0
walk,ball,429665,R,,,,,593958,L,CH,89.7,2121.0
walk,ball,429665,R,,,,,593958,L,FT,94.0,2193.0
single,hit_into_play_no_out,429665,R,5.0,102.7,57.5,118.7,673633,R,FS,82.9,1116.0
field_out,hit_into_play,429665,R,1.0,101.9,102.7,153.24,661255,R,SL,82.8,2582.0
field_out,hit_into_play,429665,R,49.0,99.1,136.23,88.22,425844,R,FF,90.8,2422.0
walk,blocked_ball,429665,R,,,,,425844,R,CU,72.2,2437.0
field_out,hit_into_play,429665,R,3.0,98.8,106.77,153.75,661255,R,SL,85.3,
double,hit_into_play_score,429665,R,17.0,104.1,146.32,54.98,664199,R,FF,93.6,2232.0
single,hit_into_play_no_out,429665,R,13.0,97.8,126.07,91.26,664199,R,SL,85.1,2202.0
walk,blocked_ball,429665,R,,,,,664199,R,SL,86.6,2361.0
field_out,hit_into_play,429665,R,69.0,80.0,166.71,182.7,592390,R,FF,94.9,2439.0
double,hit_into_play_no_out,429665,R,20.0,97.5,88.36,79.51,650382,L,SL,82.8,2615.0
single,hit_into_play_no_out,429665,R,17.0,107.2,81.79,44.73,519242,L,FF,94.5,2349.0
strikeout,called_strike,429665,R,,,,,519242,L,FF,95.1,2534.0
strikeout,swinging_strike_blocked,429665,R,,,,,519242,L,SL,80.8,2524.0
strikeout,called_strike,429665,R,,,,,519443,R,FF,94.3,2322.0
double,hit_into_play_no_out,429665,R,8.0,110.0,88.18,79.07,598264,R,CU,85.8,2235.0
double,hit_into_play_score,429665,R,45.0,101.2,82.41,64.51,593958,L,CH,88.1,2137.0
field_out,hit_into_play,429665,R,-10.0,98.3,148.93,153.24,593958,L,SL,88.6,2229.0
walk,ball,429665,R,,,,,593958,L,FT,95.1,2155.0
field_out,hit_into_play,429665,R,47.0,90.5,185.5,93.11,519443,R,KC,80.7,2693.0
strikeout,called_strike,429665,R,,,,,519393,R,FC,93.1,2262.0
single,hit_into_play_no_out,429665,R,3.0,102.9,178.9,88.22,488768,R,FF,96.6,2204.0
strikeout,swinging_strike,429665,R,,,,,488768,R,FF,92.1,2064.0
strikeout_double_play,swinging_strike,429665,R,,,,,488768,R,CH,86.4,1710.0
field_out,hit_into_play,429665,R,60.0,73.0,147.41,143.08,605155,R,FC,92.5,2371.0
field_out,hit_into_play,429665,R,24.0,87.5,198.34,99.35,519144,R,SL,82.3,2466.0
field_out,hit_into_play,429665,R,15.0,103.0,58.53,92.9,519144,R,SL,84.1,2534.0
strikeout,called_strike,429665,R,,,,,519144,R,SL,82.9,2544.0
home_run,hit_into_play_score,429665,R,36.0,99.9,64.8,47.78,656970,L,CH,83.0,1785.0
field_out,hit_into_play,429665,R,34.0,78.7,118.53,76.37,656970,L,FF,89.5,2594.0
field_out,hit_into_play,429665,R,29.0,81.3,125.33,69.92,543606,R,FF,93.6,2143.0
strikeout,called_strike,429665,R,,,,,543606,R,FC,86.4,2293.0
double,hit_into_play_no_out,429665,R,5.0,105.5,40.51,103.03,543606,R,FS,85.6,1439.0
strikeout,swinging_strike,429665,R,,,,,573124,L,SL,85.5,2498.0
strikeout,swinging_strike,429665,R,,,,,608648,R,FF,94.0,2331.0
strikeout,swinging_strike,429665,R,,,,,664054,R,SL,82.5,2401.0
single,hit_into_play_no_out,429665,R,9.0,105.0,136.02,67.34,502043,R,FT,94.3,2139.0
walk,ball,429665,R,,,,,502043,R,FT,94.4,2099.0
double,hit_into_play_no_out,429665,R,26.0,97.4,188.17,49.48,502043,R,FT,94.3,2037.0
single,hit_into_play_no_out,429665,R,6.0,74.5,143.78,101.44,573124,L,SL,84.8,
field_out,hit_into_play,429665,R,50.0,68.7,148.66,116.39,626929,L,FF,92.8,2010.0
walk,ball,429665,R,,,,,608648,R,SL,79.1,2269.0
single,hit_into_play_score,429665,R,30.0,74.1,143.05,92.78,527048,L,FC,89.4,2306.0
triple_play,hit_into_play,429665,R,-7.0,71.9,101.68,168.96,527048,L,CH,84.3,1784.0
field_out,hit_into_play,429665,R,26.0,85.0,99.74,67.58,623184,R,FF,94.8,2180.0
field_out,hit_into_play,429665,R,5.0,78.6,145.37,155.27,608566,R,SL,89.2,2427.0
strikeout,swinging_strike,429665,R,,,,,608566,R,KC,86.2,2745.0
field_out,hit_into_play,429665,R,-58.0,76.9,111.85,175.59,608566,R,FT,96.6,2118.0
single,hit_into_play_score,429665,R,28.0,85.7,101.26,63.55,545064,R,FF,97.1,2112.0
strikeout,swinging_strike,429665,R,,,,,608032,R,FF,98.0,2244.0
field_out,hit_into_play,429665,R,69.0,80.0,82.39,177.62,518452,R,FF,93.5,2143.0
double,hit_into_play_score,429665,R,3.0,93.3,45.81,105.49,622608,R,CH,87.2,1895.0
fielders_choice_out,hit_into_play,429665,R,-45.0,86.5,116.93,167.97,622608,R,SL,85.8,1990.0
field_out,hit_into_play,429665,R,43.0,97.6,163.9,56.93,545064,R,FF,96.8,2235.0
field_out,hit_into_play,429665,R,69.0,80.0,146.9,151.71,622075,R,FF,96.4,2268.0
field_out,hit_into_play,429665,R,29.0,100.8,118.08,32.39,622075,R,SL,86.3,2534.0
home_run,hit_into_play_score,429665,R,23.0,102.0,24.42,82.03,607536,L,CH,87.7,1453.0
strikeout,swinging_strike,429665,R,,,,,607536,L,FF,93.8,2316.0
field_out,hit_into_play,429665,R,-3.0,95.7,103.72,155.27,552640,R,SL,89.9,2760.0
field_out,hit_into_play,429665,R,69.0,80.0,146.39,161.36,592773,R,FS,88.3,1067.0
walk,ball,429665,R,,,,,450203,R,CU,80.9,2825.0
strikeout,swinging_strike,429665,R,,,,,630023,R,FS,88.1,1105.0
field_out,hit_into_play,429665,R,2.0,95.0,122.01,142.06,450203,R,FC,87.9,2599.0
field_out,hit_into_play,429665,R,45.0,90.3,201.11,103.38,630023,R,SI,98.0,2376.0
field_out,hit_into_play,429665,R,-10.0,99.7,96.1,162.38,450203,R,FT,94.7,1983.0
walk,blocked_ball,429665,R,,,,,630023,R,SL,89.9,2396.0
single,hit_into_play_no_out,429665,R,13.0,92.0,87.64,85.01,621056,R,SL,85.6,
