last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Betts, Mookie,605141,2019,675,478,.290,.296,-.006,.526,.536,-.010,.384,.398,-.014
Acuna Jr., Ronald,660670,2019,673,417,.282,.275,.007,.514,.540,-.026,.373,.382,-.009
Semien, Marcus,543760,2019,673,504,.281,.263,.018,.509,.453,.056,.370,.347,.023
Merrifield, Whit,593160,2019,665,510,.306,.287,.019,.472,.428,.044,.350,.331,.019
Freeman, Freddie,518692,2019,647,446,.305,.289,.016,.572,.556,.016,.403,.396,.007
Polanco, Jorge,593871,2019,643,480,.299,.280,.019,.490,.460,.030,.361,.347,.014
Albies, Ozzie,645277,2019,640,485,.289,.281,.008,.487,.467,.020,.352,.346,.006
Hoskins, Rhys,656555,2019,636,367,.236,.220,.016,.474,.408,.066,.361,.342,.019
Devers, Rafael,646240,2019,633,482,.314,.296,.018,.563,.513,.050,.386,.366,.020
Escobar, Eduardo,500871,2019,631,465,.272,.253,.019,.532,.456,.076,.354,.328,.026
Bogaerts, Xander,593428,2019,629,444,.303,.275,.028,.560,.470,.090,.394,.358,.036
Santana, Carlos,467793,2019,629,426,.283,.264,.019,.535,.478,.057,.394,.372,.022
Villar, Jonathan,542340,2019,628,416,.277,.247,.030,.456,.392,.064,.342,.312,.030
Bregman, Alex,608324,2019,625,438,.296,.265,.031,.578,.442,.136,.415,.369,.046
Alonso, Pete,624413,2019,621,378,.266,.261,.005,.591,.531,.060,.397,.383,.014
Abreu, Jose,547989,2019,618,440,.284,.283,.001,.516,.517,-.001,.354,.365,-.011
Harper, Bryce,547180,2019,613,354,.255,.273,-.018,.499,.523,-.024,.368,.387,-.019
Soler, Jorge,624585,2019,610,373,.255,.265,-.010,.552,.562,-.010,.375,.388,-.013
Goldschmidt, Paul,502671,2019,608,392,.259,.264,-.005,.463,.500,-.037,.344,.363,-.019
Marte, Ketel,606466,2019,607,468,.329,.296,.033,.596,.498,.098,.411,.367,.044
Bell, Josh,605137,2019,606,409,.277,.278,-.001,.573,.538,.035,.385,.381,.004
Arenado, Nolan,571448,2019,606,466,.312,.269,.043,.581,.463,.118,.393,.341,.052
Castellanos, Nicholas,592206,2019,606,430,.290,.269,.021,.521,.502,.019,.360,.351,.009
Donaldson, Josh,518626,2019,605,357,.258,.263,-.005,.539,.524,.015,.389,.390,-.001
Castro, Starlin,516770,2019,605,476,.268,.268,.000,.423,.418,.005,.305,.311,-.006
Chapman, Matt,656305,2019,605,397,.253,.248,.005,.514,.482,.032,.364,.357,.007
Bellinger, Cody,641355,2019,605,414,.303,.321,-.018,.633,.619,.014,.422,.433,-.011
Machado, Manny,592518,2019,604,425,.259,.260,-.001,.464,.440,.024,.338,.335,.003
Martinez, J.D.,502110,2019,604,413,.303,.307,-.004,.569,.577,-.008,.393,.407,-.014
Choo, Shin-Soo,425783,2019,603,370,.263,.256,.007,.448,.448,.000,.351,.352,-.001
Hosmer, Eric,543333,2019,603,427,.280,.264,.016,.443,.413,.030,.327,.315,.012
Trout, Mike,545361,2019,600,354,.291,.303,-.012,.645,.644,.001,.442,.454,-.012
Mancini, Trey,641820,2019,598,411,.277,.270,.007,.513,.475,.038,.363,.352,.011
DeJong, Paul,657557,2019,595,403,.244,.241,.003,.454,.430,.024,.332,.329,.003
Suarez, Eugenio,553993,2019,594,355,.267,.242,.025,.562,.473,.089,.378,.347,.031
Story, Trevor,596115,2019,593,388,.294,.264,.030,.543,.451,.092,.377,.337,.040
Hernandez, Cesar,514917,2019,591,461,.279,.272,.007,.397,.364,.033,.314,.304,.010
Pham, Tommy,502054,2019,591,401,.279,.277,.002,.464,.458,.006,.361,.363,-.002
Rosario, Amed,642708,2019,589,442,.288,.286,.002,.428,.403,.025,.321,.317,.004
Brantley, Michael,488726,2019,589,474,.323,.296,.027,.523,.463,.060,.382,.357,.025
Lindor, Francisco,596019,2019,588,459,.296,.274,.022,.545,.456,.089,.369,.336,.033
Bryant, Kris,592178,2019,588,372,.281,.240,.041,.521,.441,.080,.384,.345,.039
Soto, Juan,665742,2019,588,378,.295,.289,.006,.574,.563,.011,.410,.409,.001
Kepler, Max,596146,2019,587,422,.252,.256,-.004,.522,.440,.082,.362,.341,.021
